"","Name","Neighborhood","lat","long","Rating","Stars","Reviews","Address","Zip","Groups","Credit","Parking","Attire","Price","Kids","Reservation","Deliver","TakeOut","Waiter","Outdoor","Wifi","Meal","Alcohol","Noise","TV","Catter","Ambience","Wheelchair"
"31","Athineon","Downtown Berkeley","37.871965","-122.272093","4.0 star rating","4.0","73","1941 University Ave","","Yes","Yes","Street","Casual","$","Yes","Yes","Yes","Yes","Yes","Yes","No","Lunch, Dinner","Beer & Wine Only","Average","Yes","Yes","Casual","Yes"
"32","Brazil Cafe","Downtown Berkeley","37.872417","-122.268411","4.0 star rating","4.0","394","1983 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","Average","No","No","Casual","Yes"
"33","Top Dog","Downtown Berkeley","37.870529","-122.266341","4.0 star rating","4.0","151","2160 Center St","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","Loud","Yes","No","Casual","Yes"
"34","Phil's Sliders","Downtown Berkeley","37.871473","-122.268462","4.0 star rating","4.0","99","2024 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Average","No","No","Casual",""
"35","Slow","Downtown Berkeley","37.871705","-122.271387","4.0 star rating","4.0","127","1966 University Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch, Dinner","No","Average","No","No","Casual","Yes"
"36","Grub-N-Go","Downtown Berkeley","37.869598","-122.267998","4.0 star rating","4.0","40","2109 Allston Way","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","No","","","","","Yes"
"37","Ippuku","Downtown Berkeley","37.870260","-122.266176","4.0 star rating","4.0","210","2130 Center St","","Yes","Yes","Street","Casual","$$$","No","Yes","No","No","Yes","No","No","Dinner","Full Bar","Average","No","No","Trendy, Intimate","Yes"
"38","Hot Cups","Downtown Berkeley","37.871399","-122.267998","4.0 star rating","4.0","27","2107 Addison St","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","Free","Lunch","No","Quiet","No","No","Casual","Yes"
"39","La Note","Downtown Berkeley","37.866193","-122.267527","4.0 star rating","4.0","1272","2377 Shattuck Ave","","No","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Breakfast, Brunch","Beer & Wine Only","Average","No","No","Casual","Yes"
"40","Angeline's Louisiana Kitchen","Downtown Berkeley","37.868326","-122.267761","4.0 star rating","4.0","1309","2261 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"41","PIQ Berkeley","Downtown Berkeley","37.871614","-122.268300","4.0 star rating","4.0","155","91 Shattuck Sq","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","Free","Lunch","Beer & Wine Only","Quiet","No","Yes","Casual","Yes"
"42","Fred's Market No 2","Downtown Berkeley","37.871943","-122.272250","4.0 star rating","4.0","41","1929 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","Beer & Wine Only","","","","","Yes"
"43","eVe","Downtown Berkeley","37.871707","-122.271372","4.0 star rating","4.0","108","1960 University Ave","","No","Yes","Street","Casual","$$$","No","Yes","No","No","Yes","No","No","Dinner","Beer & Wine Only","Average","No","No","Intimate","Yes"
"44","Gather","Downtown Berkeley","37.869348","-122.266020","4.0 star rating","4.0","645","2200 Oxford St","","Yes","Yes","Garage, Street","Casual","$$","No","Yes","No","Yes","Yes","Yes","No","Dinner","Full Bar","Average","No","Yes","Trendy","Yes"
"45","Great China Restaurant","Downtown Berkeley","37.868535","-122.267339","4.0 star rating","4.0","646","2115 Kittredge St","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","No","Yes","Casual","No"
"46","Chick-O-Pea's","Downtown Berkeley","37.873324","-122.268826","4.0 star rating","4.0","173","1926 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch","No","Quiet","No","Yes","Casual","Yes"
"47","Razan's Organic Kitchen","Downtown Berkeley","37.868557","-122.267520","4.0 star rating","4.0","111","2119 Kittredge St","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","No","Yes","","Lunch","No","Average","No","","Casual","Yes"
"48","Sandwich Zone","Downtown Berkeley","37.870957","-122.267756","4.0 star rating","4.0","72","2117 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","","Lunch","No","","Yes","","","Yes"
"49","Cafe Panini","Downtown Berkeley","37.869400","-122.267998","4.0 star rating","4.0","84","2115 Allston Way","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","No","Quiet","No","Yes","","Yes"
"50","FIVE","Downtown Berkeley","37.869230","-122.268554","4.0 star rating","4.0","327","2086 Allston WayInside Hotel Shattuck","","Yes","Yes","Garage, Street","Casual","$$$","No","Yes","No","Yes","Yes","No","Free","Dinner","Full Bar","Average","No","","Classy","Yes"
"51","Nuha's Cafe","Downtown Berkeley","37.870387","-122.270336","4.0 star rating","4.0","14","2115 Milvia St","","No","","","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","No","","","","",""
"52","Beta Lounge","Downtown Berkeley","37.866881","-122.266352","4.0 star rating","4.0","169","2129 Durant Ave","","Yes","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","No","No","Late Night","","Average","Yes","No","Trendy","Yes"
"53","Venus Restaurant","Downtown Berkeley","37.867079","-122.267532","4.0 star rating","4.0","518","2327 Shattuck Ave","","No","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","No","No","Dinner, Breakfast, Brunch","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"54","Gecko Gecko","Downtown Berkeley","37.870766","-122.270304","4.0 star rating","4.0","111","2101 Milvia St","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Lunch, Dinner","No","Average","No","Yes","Casual","Yes"
"55","Arinell Pizza","Downtown Berkeley","37.870894","-122.267694","4.0 star rating","4.0","291","2119 Shattuck Ave","","No","No","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","Average","No","No","","Yes"
"56","Bobby G's Pizzeria","Downtown Berkeley","37.872005","-122.268944","4.0 star rating","4.0","285","2072 University Ave","","Yes","Yes","Garage, Street","Casual","$$","Yes","Yes","No","Yes","No","Yes","Free","Lunch, Dinner","Beer & Wine Only","Average","Yes","","Casual","Yes"
"57","Jupiter","Downtown Berkeley","37.869794","-122.267811","4.0 star rating","4.0","1215","2181 Shattuck Ave","","Yes","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Loud","No","No","Casual","Yes"
"58","Cafe Tibet","Downtown Berkeley","37.871856","-122.270181","4.0 star rating","4.0","129","2020 University Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","","Dinner","Beer & Wine Only","Quiet","No","No","Casual","Yes"
"59","E-Z Stop Deli","Downtown Berkeley","37.868667","-122.267827","4.0 star rating","4.0","54","2233 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","","Lunch","Beer & Wine Only","","","","","Yes"
"60","Lucky House Thai","Downtown Berkeley","37.872175","-122.267758","4.0 star rating","4.0","157","2140 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","","Lunch, Dinner","No","Average","Yes","No","Casual","Yes"
"61","The Sunny Side Caf̩","Downtown Berkeley","37.870183","-122.266057","4.0 star rating","4.0","107","2136 Oxford St","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","No","Yes","","Breakfast, Brunch","Beer & Wine Only","Average","No","No","","Yes"
"62","Jayakarta","Downtown Berkeley","37.871883","-122.270124","4.0 star rating","4.0","336","2026 University Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"63","Jazz Caffe","Downtown Berkeley","37.871196","-122.268928","4.0 star rating","4.0","22","2087 Addison St","","Yes","Yes","Garage, Street","Casual","$","No","No","No","Yes","Yes","No","No","Lunch","Beer & Wine Only","","","","","Yes"
"64","Sumo Grub","Downtown Berkeley","37.867762","-122.270052","4.0 star rating","4.0","95","2235 Milvia St","","Yes","No","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Dessert, Late Night, Lunch","No","Average","Yes","Yes","Casual","Yes"
"65","Revival Bar & Kitchen","Downtown Berkeley","37.871068","-122.268281","3.5 star rating","3.5","143","2102 Shattuck Ave","","Yes","Yes","Street","Casual","$$$","No","Yes","No","No","Yes","No","No","Dinner","Full Bar","Average","No","","Romantic, Classy, Trendy","Yes"
"66","Sportivo","Downtown Berkeley","37.870433","-122.267025","4.0 star rating","4.0","45","2132 Center St","","Yes","Yes","Street","Casual","$$","No","No","No","Yes","Yes","Yes","No","Dinner","Full Bar","Very Loud","Yes","","","Yes"
"67","Long Life Vegi House","Downtown Berkeley","37.872338","-122.267381","4.0 star rating","4.0","203","2129 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Quiet","No","","Casual","Yes"
"68","Mandarin Garden Restaurant","Downtown Berkeley","37.871941","-122.267789","3.5 star rating","3.5","114","2025 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Average","","","","Yes"
"69","Biryani House","Downtown Berkeley","37.872068","-122.267806","3.5 star rating","3.5","218","2011 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Average","Yes","No","Casual","Yes"
"70","Alborz","Downtown Berkeley","37.870300","-122.266998","3.5 star rating","3.5","142","2142 Center St","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Average","No","Yes","","Yes"
"71","Anzu Restaurant","Downtown Berkeley","37.865204","-122.267455","3.5 star rating","3.5","129","2433 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Quiet","No","","","Yes"
"72","Chaat Cafe","Downtown Berkeley","37.871520","-122.272910","4.0 star rating","4.0","160","1902 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"73","Chris Thai Cuisine","Downtown Berkeley","37.866432","-122.267735","3.5 star rating","3.5","53","2364 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","Yes","Yes","Yes","No","No","Lunch, Dinner","No","Average","Yes","Yes","Casual","No"
"74","Crepes A Go Go","Downtown Berkeley","37.872362","-122.267562","3.5 star rating","3.5","192","2125 University Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Dessert, Lunch, Breakfast","No","Average","No","","","Yes"
"75","Triple Rock Brewery & Ale House","Downtown Berkeley","37.873382","-122.268517","3.5 star rating","3.5","473","1920 Shattuck Ave","","Yes","Yes","Street","Casual","$$","No","No","No","Yes","Yes","Yes","Free","Dinner","Beer & Wine Only","Loud","Yes","No","Casual","Yes"
"76","Platano","Downtown Berkeley","37.871933","-122.269737","3.5 star rating","3.5","293","2042 University Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"77","La Rose Bistro","Downtown Berkeley","37.871779","-122.267811","3.5 star rating","3.5","86","2037 Shattuck Ave","","Yes","Yes","Street","Casual","$$$","No","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Quiet","No","","Romantic, Classy","Yes"
"78","Plearn Thai Restaurant","Downtown Berkeley","37.871710","-122.272322","3.5 star rating","3.5","73","1923 University Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","No","Dinner","Beer & Wine Only","Quiet","","","","Yes"
"79","Musashi","Downtown Berkeley","37.863998","-122.266998","3.5 star rating","3.5","76","2126 Dwight Way","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"80","Bangkok Noodles & Thai BBQ","Downtown Berkeley","37.872748","-122.268634","3.5 star rating","3.5","79","1958 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","Yes","","Casual","Yes"
"81","Pho Me Now","Downtown Berkeley","NA","NA","3.5 star rating","3.5","126","","","Yes","Yes","","Casual","$","Yes","No","Yes","Yes","No","No","No","Late Night","No","","No","No","","No"
"82","Cancun Taqueria","Downtown Berkeley","37.869301","-122.266998","3.5 star rating","3.5","421","2134 Allston Way","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"83","Thai Noodle","Downtown Berkeley","37.873186","-122.268916","3.5 star rating","3.5","337","1936 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Late Night","No","Average","Yes","","Casual","Yes"
"84","Zabu Zabu","Downtown Berkeley","37.870972","-122.271824","3.5 star rating","3.5","413","1919 Addison StSte 102","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Full Bar","Average","Yes","No","Casual","Yes"
"85","Punjabi By Nature","Downtown Berkeley","37.870112","-122.265886","3.5 star rating","3.5","102","2136 Oxford St","","Yes","Yes","Street","Casual","$","Yes","No","Yes","Yes","Yes","No","Free","Lunch, Dinner","Beer & Wine Only","Average","No","","Hipster, Casual","Yes"
"86","Ironwood BBQ Berkeley","Downtown Berkeley","37.870202","-122.265902","3.5 star rating","3.5","61","2130 Oxford St","","No","Yes","Street","Casual","$$","No","No","Yes","Yes","No","Yes","Free","Lunch","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"87","Zatar","Downtown Berkeley","37.872440","-122.268412","3.5 star rating","3.5","87","1981 Shattuck Ave","","No","No","Street","Casual","$$$","No","Yes","No","No","Yes","No","","Dinner","Beer & Wine Only","Quiet","No","","","No"
"88","Green Papaya Thai Vegetarian Cuisine","Downtown Berkeley","37.871643","-122.268350","3.5 star rating","3.5","127","2016 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Quiet","No","No","","Yes"
"89","K.P. Deli","Downtown Berkeley","37.871691","-122.268355","3.5 star rating","3.5","29","2012 Shattuck Ave","","No","Yes","Street","Casual","$","No","No","Yes","Yes","No","No","","Lunch","Beer & Wine Only","","","","","Yes"
"90","Anh Hong","Downtown Berkeley","37.872354","-122.269123","3.5 star rating","3.5","178","2067 University Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Full Bar","Average","Yes","","","Yes"
"91","Saturn Cafe","Downtown Berkeley","37.869822","-122.265989","3.5 star rating","3.5","294","2175 Allston Way","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","No","Hipster, Casual","Yes"
"92","Udupi Palace","Downtown Berkeley","37.871873","-122.272839","4.0 star rating","4.0","273","1901 University Ave","","Yes","No","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Dinner","No","Average","No","Yes","Dive-y","Yes"
"93","Turkish Kitchen","Downtown Berkeley","37.872512","-122.268624","3.5 star rating","3.5","216","1986 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Average","Yes","","Casual","Yes"
"94","Makris Cafe","Downtown Berkeley","37.872248","-122.268110","3.5 star rating","3.5","28","2105 University Ave","","No","No","Street","Casual","$","Yes","No","No","Yes","Yes","No","","Breakfast, Brunch","No","","","","","Yes"
"95","Bongo Burger","Downtown Berkeley","37.870404","-122.266394","3.5 star rating","3.5","92","2154 Center St","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch","No","Average","No","No","","Yes"
"96","Baskerville's Hot Dogs","Downtown Berkeley","37.870602","-122.271004","5.0 star rating","5.0","2","2109 Milvia St","","","","","","","","","","","","","","","","","","","",""
"97","Pin Toh","Downtown Berkeley","37.868133","-122.267972","3.5 star rating","3.5","57","2272 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Lunch, Dinner","No","Average","No","","","Yes"
"98","Giovanni","Downtown Berkeley","37.865308","-122.267804","3.5 star rating","3.5","72","2420 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","Free","Dinner","Beer & Wine Only","Average","Yes","","Romantic, Intimate","Yes"
"99","Los Cilantros","Downtown Berkeley","37.872222","-122.268403","4.5 star rating","4.5","5","Berkeley's Tuesday Farmers Market","","","","","","","","","","","","","","","","","","","",""
"100","Tropical Paradise","Downtown Berkeley","37.872087","-122.270041","3.5 star rating","3.5","45","2021 University Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Dinner","Beer & Wine Only","","","","","Yes"
"101","May Flower Chinese Restaurant","Downtown Berkeley","37.872171","-122.267151","3.5 star rating","3.5","153","2156 University Ave","","Yes","Yes","Street","Casual","$","Yes","Yes","Yes","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Quiet","No","","","Yes"
"102","Nanayiro","Downtown Berkeley","37.866073","-122.267106","3.5 star rating","3.5","145","2399 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Average","No","","","Yes"
"103","Au Coquelet Cafe Restaurant","Downtown Berkeley","37.871616","-122.270489","3.5 star rating","3.5","293","2000 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","Free","Late Night","Beer & Wine Only","Average","No","No","Casual","Yes"
"104","C U Sushi","Downtown Berkeley","37.870509","-122.266478","3.5 star rating","3.5","263","2152 Center St","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","Yes","","Lunch, Dinner","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"105","Wiki Wiki Hawaiian","Downtown Berkeley","37.865404","-122.267442","3.5 star rating","3.5","80","2417 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch, Dinner","No","Quiet","","","","Yes"
"106","Nino's Brazilian Restaurant & Pizzeria","Downtown Berkeley","37.872883","-122.273146","3.5 star rating","3.5","72","1916 Martin Luther King Jr Way","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","","Dinner","Beer & Wine Only","","","No","","No"
"107","Zaika","Downtown Berkeley","37.871928","-122.269587","4.5 star rating","4.5","14","2050 University Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","Free","Lunch, Dinner","Beer & Wine Only","Average","Yes","Yes","Casual","Yes"
"108","Plearn Thai Kitchen","Downtown Berkeley","37.867906","-122.267763","3.5 star rating","3.5","74","2283 Shattuck Ave","","Yes","No","Street","Casual","$","Yes","Yes","No","Yes","Yes","No","No","Lunch","Beer & Wine Only","Average","No","No","Casual","Yes"
"109","Black Orchid Bakery","Downtown Berkeley","NA","NA","5.0 star rating","5.0","1","","","","","","","$","","","Yes","","","","","","","","","","",""
"110","Cyprus Restaurant","Downtown Berkeley","37.871656","-122.268304","3.5 star rating","3.5","51","81 Shattuck Sq","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","Yes","","Lunch, Dinner","No","Quiet","No","","","Yes"
"111","Sushi Ko","Downtown Berkeley","37.871474","-122.268316","3.5 star rating","3.5","184","64 Shattuck Sq","","Yes","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","No","No","Dinner","","Average","Yes","","","Yes"
"112","Oasis Grill","Downtown Berkeley","37.870323","-122.267820","3.5 star rating","3.5","74","2114 Center St","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","No","Average","Yes","Yes","","Yes"
"113","King Dong Chinese Restaurant","Downtown Berkeley","37.865277","-122.267464","3.5 star rating","3.5","205","2429 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","Yes","Yes","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Average","Yes","Yes","","Yes"
